,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,16S,fert_level,crop,timepoint,doe,addition,field_rep
2b,22.70657068,40,21.35182477,21.58025775,20.03496178,22.32520874,40,20.48577079,22.19208848,22.3288299,20.86869992,18.25762822,21.64643647,21.40720104,21.44517352,19.90333769,40,22.13894326,40,22.23253508,40,20.71417522,40,20.32493853,19.98500369,21.92355792,21.97524526,40,40,40,40,22.56125227,22.91497085,40,22.99421442,21.81894098,40,40,18.77418874,40,40,40,21.49094722,40,40,40,40,40,40,40,20.37089742,20.28485806,40,21.98305061,21.69731953,40,21.63917453,21.72716425,40,40,40,40,21.8103313,40,40,20.36946494,40,40,40,40,40,40,40,21.88533257,40,40,40,40,12.58732121,0,corn,b,5,carbon,1
35b,22.32705543,40,21.7891893,22.93456035,21.01934608,22.2461895,40,40,20.70009035,22.91716232,21.25374442,19.34874451,40,21.64603803,22.59463737,21.8542963,40,40,40,40,40,40,22.94318116,40,21.88102859,40,40,40,40,40,40,40,40,22.9761574,40,21.14597592,40,40,19.44394728,40,40,40,40,40,40,40,22.92559561,40,40,40,22.75168414,22.13065322,40,22.42972616,22.79587907,40,21.75029957,40,40,40,40,40,40,40,22.46704077,22.11646485,40,40,40,40,40,40,40,40,40,40,40,40,12.48911198,0,corn,b,5,carbon,4
52f,40,40,40,40,21.03393939,40,40,40,40,40,21.85056787,18.71427458,22.0351544,40,40,20.84118826,40,40,40,40,40,21.71877506,22.66137802,22.50958511,21.15411532,22.76144352,40,40,40,40,40,22.84293689,21.74029509,21.84989112,40,22.86148816,40,40,18.69047364,40,40,22.71476321,22.48420409,40,40,21.79987512,40,40,21.81307055,22.10310883,22.96043972,22.34976405,40,40,22.52315489,21.57713557,22.07796586,22.29870714,40,21.48791328,40,40,40,40,40,21.99182865,40,40,40,40,40,40,40,40,40,40,40,40,13.6545151,0,mxg,f,87,control,2
34f,40,40,40,40,20.32134769,40,40,22.51825695,21.90290407,40,22.47463714,19.52644656,40,40,22.65729525,22.88757079,40,40,40,40,40,40,40,40,22.2290502,40,40,40,22.5572259,40,40,22.2871445,40,40,40,40,40,40,20.49313335,40,40,40,40,22.91136837,40,40,22.13405815,40,40,40,22.4729908,40,40,40,40,22.94145393,21.02183158,40,22.65945873,40,40,22.73666831,40,40,40,21.56123082,22.64300227,40,40,40,40,40,40,40,40,40,40,40,13.08556828,0,corn,f,87,control,4
16f,22.39138643,40,22.42540765,40,19.97216628,40,40,21.96345749,19.95246287,40,20.76332999,18.5613792,21.13849221,21.96183153,21.7301184,19.68905003,22.68608376,21.46154588,22.48013227,21.14170548,40,20.80927658,40,21.89509033,20.53864339,20.63835774,20.50339135,40,22.87377225,40,40,22.03968229,21.43395011,21.43531263,40,22.30383265,21.93367107,40,18.49038825,22.95127899,22.78368369,22.22715606,20.41417877,22.73899126,20.00573641,21.24995332,20.2224784,40,21.28920229,21.41104889,21.39289104,20.1103523,22.881233,22.84155706,22.59043387,20.98454395,20.65159415,40,21.34067358,20.53865562,40,40,40,40,22.9921592,20.35310541,40,40,40,21.98485795,40,21.74799867,40,22.9857225,40,40,40,40,14.05409346,336,corn,f,87,control,2
53f,40,40,22.98309696,40,22.47624269,40,40,40,21.51576653,40,22.27372283,18.42726235,40,40,40,21.5368247,22.41200001,40,40,21.83628421,40,21.26660608,40,40,21.98861109,22.18864914,21.99697179,40,40,40,40,40,22.5375753,40,40,40,22.99433958,40,18.79244613,40,40,40,22.47724139,40,40,40,40,40,40,40,20.73121636,21.53416462,40,40,40,40,20.7640044,40,22.9314708,40,22.70066052,40,40,40,40,21.8814684,22.56228572,40,40,40,40,40,40,40,40,40,40,40,13.41844024,0,mxg,f,87,carbon,2
15f,21.54145768,40,40,40,21.16051466,40,40,40,21.10036789,40,21.03060925,19.04196679,22.59654058,40,40,22.25072953,40,40,40,40,40,20.73730359,40,40,20.35455667,21.48651224,21.54632092,40,40,40,40,21.87252221,21.94251128,40,40,22.35604617,20.13599905,40,19.12804022,40,22.97181743,20.36235577,40,40,19.8233253,40,40,40,21.74996076,40,21.94087235,21.3930842,40,40,40,21.79453059,20.50411276,40,40,22.66942414,40,40,40,40,40,21.60822861,40,40,40,21.26548386,40,40,40,40,40,40,40,40,14.69120732,336,corn,f,87,nitrogen,1
63b,40,40,40,40,20.27728874,40,40,40,21.01724141,40,20.43653888,18.73643428,40,22.39029135,20.47332352,21.98371102,22.40928849,40,40,40,40,20.35670359,21.01179874,21.34176616,22.68670503,22.93559383,40,40,40,40,40,22.49875299,40,40,40,20.95432137,40,40,18.79165171,40,40,40,22.12758924,22.5022325,40,22.90945528,22.13006407,40,40,40,20.95351254,21.10151407,40,40,40,22.90681842,22.50126421,22.04860181,22.19781245,40,40,40,22.77094021,40,40,20.94813636,22.24477991,40,40,40,40,40,40,40,40,40,40,40,12.86680832,0,mxg,b,5,nitrogen,3
3b,40,22.09510436,21.5662706,40,20.26196358,40,40,21.90928896,19.81975052,21.21425504,19.69299822,18.55399291,21.37350676,40,20.3090622,21.47319717,22.06743437,40,40,21.45818497,40,20.68075545,21.53102481,21.5670957,20.54335715,40,22.08778145,40,22.45916257,40,40,21.36870219,40,22.05176677,22.6920943,21.74046098,40,40,18.47281774,40,40,40,21.62715809,40,40,40,40,40,40,40,20.87327025,19.72506622,40,21.78986357,22.07210259,22.48536,19.71820687,20.70954403,21.78293307,40,40,40,22.60883833,40,40,20.77125707,40,40,40,40,40,40,40,40,40,40,40,40,12.6002062,0,corn,b,5,nitrogen,1
29f,40,40,40,40,22.62384852,40,40,22.91119092,21.99732745,21.72860462,20.84053224,18.8039686,40,40,21.52417465,40,40,40,40,40,40,22.81662103,40,22.21908547,40,40,22.94551077,40,22.5916954,40,40,21.94313523,40,22.68184866,22.47860216,40,40,40,18.97015105,40,40,40,40,40,40,40,40,40,40,40,40,20.38507352,40,22.74775808,22.22987949,40,22.07563431,40,40,40,40,40,22.49089625,40,40,20.93618119,40,40,40,40,40,40,40,40,40,40,40,40,13.21299277,0,corn,f,87,carbon,3
68f,40,22.91487678,22.05335677,40,21.34950074,40,40,22.40756297,40,40,21.87391318,18.45788693,22.98536841,22.44916681,22.1978163,21.71545486,40,40,40,40,40,22.13583083,40,22.12544682,21.97287532,40,40,40,40,40,40,22.14739446,40,40,40,40,40,40,18.52039817,40,40,40,20.56377465,22.19398957,40,40,40,40,40,40,21.63438386,20.8940471,40,40,22.42842276,22.75538321,20.93883473,21.86774293,21.45277884,40,40,40,40,40,40,22.07169442,40,40,40,40,40,40,40,40,40,40,40,40,12.83783761,0,mxg,f,87,carbon,4
29b,40,40,22.49411078,40,21.22054906,40,40,40,21.9582921,22.01921226,20.65926932,18.52483808,40,21.880403,22.61009704,22.05698763,40,40,40,40,40,22.04014663,22.09447961,40,21.15392301,40,22.76123866,40,40,40,40,40,40,40,21.41839815,22.10325578,40,40,18.82294289,40,40,40,21.88635138,40,40,40,40,40,40,40,20.94776494,22.74888065,40,40,40,40,20.97472074,22.92749284,22.60120022,40,40,40,40,40,40,20.74868314,40,40,40,40,40,40,40,40,40,40,40,40,12.79586124,0,corn,b,5,carbon,3
69b,40,40,22.08798183,40,21.40394545,22.76361994,40,21.80840276,21.82383866,40,20.78294487,18.96789411,22.38160468,22.19181211,22.21855614,21.32225507,40,40,40,40,40,20.89809596,40,21.1812792,20.73062037,22.5890329,40,40,40,40,40,40,40,22.89702234,40,40,40,40,19.65470866,40,40,40,22.58236267,40,40,40,40,40,40,40,21.43389093,21.55056476,40,40,40,40,21.20784209,22.48016014,22.98827576,40,40,40,40,40,40,21.66136534,40,22.79560666,40,40,40,40,40,40,40,40,40,40,12.67972158,0,mxg,b,5,nitrogen,4
23f,21.07194896,22.77746979,22.99846092,40,19.00697586,40,40,19.42105487,18.56432636,21.72833221,19.14250896,18.37502572,20.43437801,20.94213267,19.95979027,18.54290277,21.50241505,22.22625755,40,20.51010113,40,18.84008862,20.59310825,19.23667977,19.14264848,21.35656449,20.32146182,40,21.62783174,40,22.45353983,19.65633033,40,22.04877947,21.03290947,20.34342541,21.66862633,40,18.42184098,40,40,40,19.67821646,22.65858494,40,40,22.59987078,40,40,40,19.27192045,19.39633295,40,21.06665268,20.662132,21.1539431,19.28422877,19.71442303,20.43161258,21.27838146,21.95652118,40,40,40,40,19.16860375,21.19453998,21.396443,40,40,40,22.86539629,40,21.71663818,40,40,40,40,13.22177899,336,corn,f,87,carbon,3
34b,40,22.75827083,40,40,22.06746108,40,40,22.19601603,21.94506388,22.52069796,21.75444112,19.54722607,40,22.19279385,40,21.75929702,40,40,40,40,40,22.23975084,22.10121395,40,22.90713277,40,40,40,40,40,40,40,40,40,40,21.63789923,40,40,20.06835025,22.92598501,40,40,40,40,40,40,40,40,40,40,40,21.92071944,40,22.79948526,22.49094233,40,40,22.73848307,40,40,40,40,40,40,40,21.59026731,22.38969468,40,40,40,40,40,40,40,40,40,40,40,12.42545534,0,corn,b,5,control,4
63f,40,40,40,40,20.67781877,22.9695884,40,20.80134572,20.89388891,22.26510826,21.59748871,18.45956689,40,40,21.02264451,22.26249245,40,40,40,40,40,21.64735508,22.38232623,40,21.3817593,40,21.9721697,40,40,40,40,21.53222362,40,40,40,22.17079089,40,40,19.12741588,40,40,40,21.22780751,40,40,40,40,40,40,40,21.50253776,40,40,40,22.12274807,22.93727029,21.22971947,22.337035,21.72421412,40,40,40,40,40,40,22.7474577,40,40,40,40,40,40,40,40,40,40,40,40,13.0449028,0,mxg,f,87,nitrogen,3
50f,40,40,40,40,20.6149391,21.64633244,40,40,21.25174492,21.82761111,22.78576578,19.19960629,40,21.91206858,40,21.42191588,40,40,40,40,40,40,22.07325923,40,21.87832624,40,21.4803375,40,21.62414078,40,40,22.55767694,22.63794862,21.37158417,40,22.10674473,22.88648465,40,19.29061767,22.54091739,40,40,21.97888567,40,40,40,40,40,40,40,20.92750442,21.83848048,40,22.60838366,40,40,21.84687884,22.8350348,22.21420781,21.6953381,40,40,40,40,22.09104766,21.59302821,21.47211813,40,40,40,40,40,40,40,40,40,40,40,13.12126171,0,mxg,f,87,carbon,1
66f,22.66993927,21.80971404,21.75159716,40,19.12795811,40,22.89993444,22.82677134,20.8412978,21.49821524,18.9672293,18.34563896,21.11762441,20.4419532,20.44581441,19.49014181,21.45534261,21.20388429,22.14710185,20.70148819,40,19.6943635,20.75056942,21.86674163,19.90314827,20.99384578,21.64814516,40,20.16427281,40,40,21.9293013,20.94727973,19.90338629,40,20.79349279,19.77609748,40,18.4729702,40,21.48948797,20.23728602,20.6125484,21.35754394,20.30582156,19.45749292,19.83293809,40,19.88356617,40,19.67621494,19.06363002,20.91122047,20.87237479,22.00620142,19.9727211,19.24158235,21.12365656,22.04220031,21.91599076,21.66094467,22.34357338,22.34124364,40,21.67897164,20.5011159,21.7748434,22.62149627,40,21.66084892,40,22.5075344,40,20.99663292,40,40,40,40,14.27042544,336,mxg,f,87,nitrogen,4
69f,40,22.46031554,22.81403822,40,20.64754697,40,40,40,20.48519446,22.12691643,21.53206704,18.8514804,22.40840255,40,22.9526908,21.69687654,40,40,40,40,40,21.60418184,21.33108504,40,21.55785222,40,22.72512999,40,40,40,40,21.99407616,40,40,40,40,40,40,19.6056261,40,40,40,22.77997637,40,40,40,40,40,40,40,21.74994265,21.1293002,40,40,40,40,21.63028875,40,40,22.21969807,40,22.86895996,40,40,40,22.05764146,22.8738249,40,40,40,40,40,40,40,40,40,40,40,12.87194866,0,mxg,f,87,nitrogen,4
36b,40,40,22.18962493,40,21.71001094,40,40,22.87645449,22.15360099,22.47770732,21.22823426,19.90003536,40,21.42057743,21.92620232,21.70981115,22.72133602,22.08790335,40,40,40,21.50197775,21.42170257,40,22.80848598,22.74043663,21.4804455,40,21.36779093,40,40,22.36326055,40,40,21.85266924,20.99543103,40,40,18.9763008,40,22.72551198,40,40,22.4310241,40,40,40,40,40,22.26179478,21.7124826,22.06721846,40,40,22.87505319,40,20.6311185,22.31637398,22.53017832,21.86276682,40,40,40,40,40,22.34813178,40,40,40,40,40,40,40,40,40,40,40,40,12.6688707,0,corn,b,5,nitrogen,4
44f,40,40,40,40,20.96695242,40,40,40,21.49398699,40,40,19.2339546,21.75517138,40,22.30520164,20.99670087,40,40,40,21.91657439,40,22.7830212,40,40,21.50722894,22.93489756,21.50621247,40,40,40,40,40,22.99366939,40,40,40,21.10898259,40,18.56412067,40,40,20.75740599,22.82949636,40,20.87209169,21.50477729,20.78968118,40,22.49244964,40,21.5431155,21.01372842,40,40,40,21.40039138,21.96983371,40,40,22.2179624,40,40,40,40,40,20.67733268,40,40,40,40,40,40,40,40,40,40,40,40,14.76367338,336,mxg,f,87,carbon,2
23b,21.7103483,22.4309076,20.04604291,40,17.78769339,40,40,19.30000672,18.73495553,20.12877222,19.18548458,18.25998486,19.26653482,19.84711134,19.10392721,19.07657469,21.45229694,22.11707165,40,19.5225278,40,18.32144989,20.13895169,19.44613381,18.82719688,40,20.78155435,40,40,40,21.94115294,19.85442206,40,21.8207936,22.61550263,21.01117054,20.85188215,40,17.90724374,40,40,40,19.29416646,21.85491701,40,40,22.92308038,40,40,40,20.3501029,18.78704114,40,20.99075431,20.28926575,20.30469048,18.90043564,19.39631434,19.94505909,19.93405334,22.37032961,40,40,40,40,18.93567946,21.34034028,20.41812004,40,40,40,40,40,21.88295186,40,40,40,40,12.58439819,336,corn,b,5,carbon,3
17b,40,40,20.94258878,22.01724226,19.24798093,40,40,40,19.38988273,21.56549538,19.19262688,18.43864132,20.79098044,21.56463174,20.90968047,19.16958404,21.6752857,22.82121549,40,20.25272794,40,20.29253182,22.02384343,22.74689046,19.32709922,19.9673317,19.72255595,40,20.88311736,40,40,21.23193367,19.6532698,19.59632391,22.87053382,20.62750158,20.62682678,21.51369533,18.14811478,40,21.03651647,20.50351685,20.27668347,40,19.43282314,22.68857613,20.23712685,40,19.72555069,21.79675523,19.82779583,19.84619251,40,40,40,19.93174142,19.90781228,22.28670309,22.16655315,20.60930231,40,22.60497518,22.0396382,40,22.19776689,20.35004208,22.03161774,40,22.48581049,19.93052431,40,22.50114005,40,22.42010373,40,40,40,40,13.03641926,336,corn,b,5,carbon,2
8b,22.55950512,22.7150091,40,40,22.27677778,40,40,40,40,40,21.18822672,18.86883399,40,22.66267434,40,20.30378031,40,40,40,22.51189174,40,40,21.91197394,22.74016717,21.22750837,40,21.19601259,40,40,40,40,40,40,22.43192316,40,40,40,40,18.92526998,40,22.90028863,40,21.74367394,40,21.07500065,21.5703542,21.78837888,40,22.09047464,21.4358307,22.02276271,22.58152966,40,22.66750409,40,21.11802734,21.66255823,40,40,21.91971164,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,12.71722833,0,corn,b,5,carbon,2
27f,21.8571527,20.68315533,19.88201228,40,18.8529468,40,40,19.96865336,17.97515437,19.97819394,19.05282237,18.07025913,19.52307754,20.37371839,19.06294101,19.02080396,21.72715272,22.02628811,21.16229953,19.71889423,40,18.83741508,20.57171496,19.42657528,18.5984552,19.70454499,19.52793031,40,40,40,20.59008999,20.27257256,21.83094492,21.61571767,21.28355565,20.45192221,21.70275924,40,18.71581809,40,40,40,19.32589785,40,21.95900741,22.07491807,22.13240151,40,40,40,19.14551436,18.75822714,40,22.04910419,21.67538307,19.76393408,18.5564423,19.87282834,20.53911408,20.61029214,20.48097229,40,21.58956987,40,22.0627176,19.01133378,21.31934571,20.24607431,40,40,22.36013363,40,40,20.507899,40,40,40,40,13.06024015,336,corn,f,87,nitrogen,4
18b,21.22230376,22.38460419,20.68072192,40,19.82489092,22.48826606,40,40,19.48814302,21.03535436,18.90349285,18.36626619,22.59169741,22.33338149,20.02205898,20.07341515,20.92069093,21.21588615,22.79460742,20.8677124,40,19.52094779,40,21.12853201,19.150227,20.63551386,19.24604575,40,20.04951618,40,40,21.70889207,20.20009218,21.56891826,22.96064616,40,21.55618128,40,18.6890572,40,22.52434294,20.39586778,20.19941903,21.7169009,19.55101786,19.05701213,19.8623888,40,18.85762337,21.74067317,19.25450126,19.73415051,40,22.25131432,21.45854233,19.76877035,19.40388359,22.02112172,21.20454685,20.83469193,40,22.63727426,40,40,22.34152506,19.54086149,22.63581605,22.72675217,40,20.36782146,40,22.06459529,40,22.62213091,40,40,40,40,13.19299302,336,corn,b,5,nitrogen,2
2f,40,40,22.27419281,40,20.89160248,40,40,21.19939478,20.29835607,22.8303221,20.70279282,19.83709165,22.07968677,21.80792182,20.44591523,20.56838665,40,22.33636218,40,40,40,22.44917922,20.8323877,40,19.81249868,22.9100927,22.14951155,40,40,40,40,21.25252218,40,21.69194664,22.73773503,21.60326971,40,40,19.44211802,40,40,40,22.11264536,21.86787274,40,40,40,40,40,40,21.99999018,20.51410693,40,40,22.74722158,22.50847358,20.52057291,40,21.58224072,40,40,40,40,40,40,20.97914158,40,40,40,40,40,40,40,40,40,40,40,40,13.02439376,0,corn,f,87,carbon,1
38b,19.83018581,20.15124339,19.42249451,20.29932222,17.80187131,40,22.5631028,18.41010401,18.07251969,19.90013876,18.22795047,18.09374291,19.03067525,19.01148747,18.15408424,17.98314934,18.75405297,20.43721714,40,19.05707276,40,18.25238642,19.04036751,18.69731991,17.93763224,20.36575261,19.86263377,40,22.15440734,40,22.16611154,19.33578486,22.1642338,19.65401342,20.1942061,19.11280418,20.62497174,21.99112628,17.62540078,40,40,40,18.94361759,20.08661053,40,40,21.25853582,40,40,40,18.24084383,18.40361975,21.63269919,20.10996209,18.84830882,19.61270103,17.82700886,18.30896697,19.03710432,20.70293897,20.31657621,21.58569872,19.85595599,40,20.86005799,18.78100688,19.24986921,19.35464472,40,40,21.72914029,40,40,19.41851408,40,40,40,40,12.57514543,336,mxg,b,5,carbon,
27b,22.12191665,22.47202543,20.96283098,40,18.0678983,40,40,19.38801948,18.48104408,20.43930863,18.43576915,18.14564887,20.48302191,20.42391518,18.99266985,18.47183792,20.17275759,21.34303441,22.37344875,20.61870051,40,18.3989192,20.02042447,19.87637178,18.23308216,20.44748393,20.51882875,40,40,40,21.69447293,19.96412683,40,40,20.62819231,22.07839584,22.22688734,40,18.00926224,40,40,40,19.79164677,22.5208598,40,40,21.9882257,40,40,40,18.93805481,19.68990895,40,22.01748251,20.09292402,20.10365061,18.48730225,19.74694871,21.34720587,21.35906243,21.28863139,22.78295094,20.62794324,40,22.46597659,19.62133859,20.4518666,20.98626077,40,40,40,22.82423785,40,19.96061332,40,40,40,40,13.06536717,336,corn,b,5,nitrogen,4
8f,40,40,40,40,20.11806929,40,40,40,20.3797462,40,21.39254945,18.41946273,22.58288703,40,40,21.81699596,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,21.96958308,40,40,40,40,18.72239212,40,22.31814699,40,22.7977545,40,40,40,40,40,22.6510178,40,40,20.95543392,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,22.74386384,40,22.81486822,40,22.88066243,40,40,40,40,40,40,13.40555586,0,corn,f,87,carbon,2
9f,40,40,22.71673107,40,21.64141627,40,40,22.44667333,20.99211241,40,20.52163381,18.05455869,40,40,22.66119602,40,40,40,40,22.59692808,40,22.20018694,40,22.09531312,21.16917952,40,22.95422834,40,22.39250374,40,40,40,22.45537746,40,40,22.5309721,40,40,18.51041772,22.88781042,40,40,40,40,21.69747277,22.5945463,20.25388983,40,21.63614663,40,40,21.66357605,40,22.43556143,21.89142376,21.7169119,20.459708,22.49470055,40,22.69574483,40,40,40,40,40,20.76171569,22.84728927,40,40,40,40,40,40,40,40,40,40,40,13.28123784,0,corn,f,87,nitrogen,2
